frame,ball_d_raw,ball_d_smooth,poss_d_raw,poss_d_smooth,d_diff_smooth,d_avg_smooth
46,18.8256,18.8946,12.9815,10.4327,8.4619,14.6636
47,18.4146,18.8379,14.1241,11.8956,6.9424,15.3668
48,18.3637,18.7279,7.9842,11.6447,7.0832,15.1863
49,18.3409,18.6134,8.1062,11.3894,7.2240,15.0014
50,19.4758,18.6841,7.0874,10.0567,8.6274,14.3704
51,19.9278,18.9046,6.7075,8.8019,10.1027,13.8532
52,19.5041,19.1225,6.9830,7.3737,11.7488,13.2481
53,18.9753,19.2448,7.2410,7.2250,12.0198,13.2349
54,19.7713,19.5309,15.2021,8.6442,10.8867,14.0875
55,19.9360,19.6229,17.2217,10.6710,8.9518,15.1470
56,20.0134,19.6400,10.8796,11.5055,8.1345,15.5727
57,19.7367,19.6865,9.6080,12.0305,7.6561,15.8585
58,19.5192,19.7953,8.1921,12.2207,7.5746,16.0080
59,19.4897,19.7390,8.2860,10.8375,8.9015,15.2882
60,19.5975,19.6713,7.7237,8.9379,10.7334,14.3046
61,19.3131,19.5312,7.4184,8.2456,11.2856,13.8884
62,19.6666,19.5172,4.2460,7.1732,12.3440,13.3452
63,20.0241,19.6182,3.9181,6.3184,13.2998,12.9683
64,19.8774,19.6957,4.0207,5.4654,14.2304,12.5806
65,19.5241,19.6810,2.9687,4.5144,15.1667,12.0977
66,19.2088,19.6602,3.4844,3.7276,15.9326,11.6939
67,19.7333,19.6735,2.9346,3.4653,16.2082,11.5694
68,18.9120,19.4511,2.8099,3.2437,16.2075,11.3474
69,19.0936,19.2944,3.1487,3.0693,16.2251,11.1818
70,19.8955,19.3686,2.7374,3.0230,16.3456,11.1958
71,19.4269,19.4123,3.1051,2.9471,16.4651,11.1797
72,19.8302,19.4317,2.7739,2.9150,16.5166,11.1733
73,19.2062,19.4905,2.8120,2.9154,16.5751,11.2030
74,18.2449,19.3208,2.8128,2.8482,16.4725,11.0845
75,18.8145,19.1046,2.3324,2.7672,16.3373,10.9359
76,18.8023,18.9796,2.3871,2.6236,16.3560,10.8016
77,18.4996,18.7135,2.4458,2.5580,16.1555,10.6358
78,18.2529,18.5228,2.9290,2.5814,15.9414,10.5521
79,18.3365,18.5412,3.3917,2.6972,15.8440,10.6192
80,18.9479,18.5678,3.5261,2.9359,15.6319,10.7519
81,18.9595,18.5993,3.9444,3.2474,15.3519,10.9233
82,18.9746,18.6943,8.6316,4.4846,14.2097,11.5894
83,19.0531,18.8543,9.7362,5.8460,13.0083,12.3502
84,18.1855,18.8241,9.9164,7.1509,11.6732,12.9875
85,18.9344,18.8214,10.3077,8.5073,10.3141,13.6643
86,19.1724,18.8640,8.2085,9.3601,9.5039,14.1120
87,21.0602,19.2811,7.0577,9.0453,10.2358,14.1632
88,21.8929,19.8491,9.1298,8.9240,10.9250,14.3865
89,19.4348,20.0989,8.0948,8.5597,11.5392,14.3293
90,18.3645,19.9850,7.6309,8.0244,11.9606,14.0047
91,18.3047,19.8114,7.5288,7.8884,11.9230,13.8499
92,17.7800,19.1554,8.6425,8.2054,10.9500,13.6804
93,18.1034,18.3975,9.5441,8.2882,10.1092,13.3429
94,18.0533,18.1212,7.9366,8.2566,9.8646,13.1889
95,18.0786,18.0640,6.9560,8.1216,9.9424,13.0928
96,18.0040,18.0039,7.8145,8.1787,9.8251,13.0913
97,17.7831,18.0045,7.1021,7.8707,10.1338,12.9376
98,17.6005,17.9039,7.3226,7.4264,10.4775,12.6651
99,17.7296,17.8392,7.1875,7.2765,10.5626,12.5579
100,17.7940,17.7822,7.1249,7.3103,10.4719,12.5463
101,18.1800,17.8174,7.5689,7.2612,10.5562,12.5393
102,17.3017,17.7212,6.9456,7.2299,10.4913,12.4755
